DateTime,CV1.HIGHLIMIT,CV10.HIGHLIMIT,CV2.HIGHLIMIT,CV3.HIGHLIMIT,CV4.HIGHLIMIT,CV5.HIGHLIMIT,CV6.HIGHLIMIT,CV7.HIGHLIMIT,CV8.HIGHLIMIT,CV9.HIGHLIMIT,CV1.LOWLIMIT,CV10.LOWLIMIT,CV2.LOWLIMIT,CV3.LOWLIMIT,CV4.LOWLIMIT,CV5.LOWLIMIT,CV6.LOWLIMIT,CV7.LOWLIMIT,CV8.LOWLIMIT,CV9.LOWLIMIT,CV1.STATUS,CV10.STATUS,CV2.STATUS,CV3.STATUS,CV4.STATUS,CV5.STATUS,CV6.STATUS,CV7.STATUS,CV8.STATUS,CV9.STATUS,CV1.READVALUE,CV10.READVALUE,CV2.READVALUE,CV3.READVALUE,CV4.READVALUE,CV5.READVALUE,CV6.READVALUE,CV7.READVALUE,CV8.READVALUE,CV9.READVALUE,MV1.HIGHLIMIT,MV2.HIGHLIMIT,MV3.HIGHLIMIT,MV4.HIGHLIMIT,MV5.HIGHLIMIT,MV1.LOWLIMIT,MV2.LOWLIMIT,MV3.LOWLIMIT,MV4.LOWLIMIT,MV5.LOWLIMIT,MV1.READVALUE,MV2.READVALUE,MV3.READVALUE,MV4.READVALUE,MV5.READVALUE,MV1.SENTVALUE,MV1.SENTVALUEIFON,MV2.SENTVALUE,MV2.SENTVALUEIFON,MV3.SENTVALUE,MV3.SENTVALUEIFON,MV4.SENTVALUE,MV4.SENTVALUEIFON,MV5.SENTVALUE,MV5.SENTVALUEIFON,OMMON.TURNONOFF,CV1._NAME,Time_diff
2024-01-10 09:43:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,414.773010253906,59.1890106201172,6.73755693435669,49.291820526123,38.6521148681641,717.468383789063,48.963134765625,50.5070762634277,56.6159896850586,394.371887207031,2400,100,100,90,61,1000,0,0,0,0,2399.71240234375,96.5,63,86,53.0,2399.79663085938,2399.79663085938,96.5,96.5,62,62,86,86,53.0,53.0,1,,30.0
2024-01-10 09:43:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,411.865264892578,59.8984832763672,6.39879703521729,48.9642601013184,38.7183380126953,718.54150390625,48.225284576416,50.2352066040039,56.1903076171875,395.137847900391,2400,100,100,90,61,1000,0,0,0,0,2399.87841796875,96.5,62,86,53.0,2399.87841796875,2399.87841796875,96.5,96.5,62,62,86,86,53.0,53.0,1,,30.0
2024-01-10 09:44:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,416.238861083984,60.0971412658691,5.49543809890747,51.5682716369629,37.6588516235352,719.837829589844,49.7861213684082,50.5413932800293,58.6687316894531,393.205444335938,2400,100,100,90,61,1000,0,0,0,0,2399.90576171875,96.5,62,86,53.0,2399.66918945313,2399.66918945313,96.5,96.5,61,61,86,86,53.0,53.0,1,,30.0
2024-01-10 09:44:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,421.010925292969,59.8038902282715,4.30036783218384,51.2395133972168,37.1385765075684,720.053894042969,50.0888290405273,50.4079322814941,57.7416839599609,393.683410644531,2400,100,100,90,61,1000,0,0,0,0,2399.6455078125,96.5,60,86,53.0,2399.6455078125,2399.6455078125,96.5,96.5,60,60,86,86,53.0,53.0,1,,30.0
2024-01-10 09:45:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,426.425659179688,58.5930519104004,8.45958614349365,51.2404098510742,39.5980834960938,720.051391601563,49.9280166625977,50.2937393188477,58.1295318603516,395.326446533203,2400,100,100,90,61,1000,0,0,0,0,2399.78442382813,98.5,58,86,53.0,2399.78442382813,2399.78442382813,98.5,98.5,58,58,86,86,53.0,53.0,1,,30.0
2024-01-10 09:45:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,432.966522216797,61.4120292663574,6.06003713607788,51.0662269592285,38.5575218200684,719.298217773438,49.2090835571289,50.2431259155273,57.3443832397461,395.759826660156,2400,100,100,90,61,1000,0,0,0,0,2399.8740234375,99.5,59,86,53.0,2399.8740234375,2399.8740234375,99.5,99.5,59,59,86,86,53.0,53.0,1,,30.0
2024-01-10 09:46:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,436.603576660156,62.1025848388672,6.9633960723877,51.1113052368164,38.4345474243164,718.006530761719,49.0766448974609,50.7126121520996,57.5808715820313,394.869903564453,2400,100,100,90,61,1000,0,0,0,0,2399.98559570313,99.5,59,86,53.0,2399.98559570313,2399.98559570313,99.5,99.5,59,59,86,86,53.0,53.0,1,,30.0
2024-01-10 09:46:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,437.867797851563,60.4471435546875,6.29528760910034,51.4209365844727,37.6210136413574,712.402893066406,50.0699119567871,50.2820777893066,56.814640045166,393.610015869141,2400,100,100,90,61,1000,0,0,0,0,2399.87158203125,99.5,59,86,53.0,2399.87158203125,2399.87158203125,99.5,99.5,59,59,86,86,53.0,53.0,1,,30.0
2024-01-10 09:47:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,424.862762451172,61.6674423217773,9.25943565368652,51.3485450744629,37.7156143188477,711.941650390625,48.7833976745605,51.415843963623,55.6132659912109,392.750946044922,2400,100,100,90,61,1000,0,0,0,0,2399.876953125,99.5,59,86,53.0,2399.79248046875,2399.79248046875,99.5,99.5,60,60,87,87,53.0,53.0,1,,30.0
2024-01-10 09:47:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,419.708343505859,59.1984672546387,4.63912773132324,50.5530128479004,37.8007469177246,720.402099609375,49.5023307800293,50.5373725891113,55.3294792175293,397.137176513672,2400,100,100,90,61,1000,0,0,0,0,2399.75073242188,99.5,61,87,53.0,2399.84375,2399.84375,99.5,99.5,61,61,87,87,53.0,53.0,1,,30.0
2024-01-10 09:48:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,400.949340820313,62.8025932312012,5.31664800643921,51.1276702880859,37.6966972351074,725.018676757813,49.6442260742188,50.1691627502441,55.1308212280273,398.282196044922,2400,100,100,90,61,1000,0,0,0,0,2399.92797851563,99.5,61,87,53.0,2399.97021484375,2399.97021484375,99.5,99.5,61,61,87,87,53.0,53.0,1,,30.0
2024-01-10 09:48:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,398.103302001953,59.5106430053711,5.99416780471802,50.7765998840332,36.7223510742188,725.622253417969,50.505054473877,49.8568534851074,55.6889419555664,399.699645996094,2400,100,100,90,61,1000,0,0,0,0,2399.95727539063,99.5,60,87,53.0,2399.95727539063,2399.95727539063,99.5,99.5,60,60,87,87,53.0,53.0,1,,30.0
